,postcode,locality,long,lat,dc
14279,2205,ARNCLIFFE,151.147956,-33.937551,ROCKDALE DC
14280,2205,TURRELLA,151.147956,-33.937551,ROCKDALE DC
14281,2205,WOLLI CREEK,151.147956,-33.937551,ROCKDALE DC
14282,2206,CLEMTON PARK,151.122881,-33.926056,KINGSGROVE DC
14283,2206,EARLWOOD,151.122881,-33.926056,KINGSGROVE DC
14284,2206,UNDERCLIFFE,151.122881,-33.926056,
14285,2207,BARDWELL PARK,151.119517,-33.948744,ROCKDALE DC
14286,2207,BARDWELL VALLEY,151.119517,-33.948744,ROCKDALE DC
14287,2207,BEXLEY,151.119517,-33.948744,BEXLEY SOUTH LPO
14288,2207,BEXLEY NORTH,151.119517,-33.948744,ROCKDALE DC
14289,2207,BEXLEY SOUTH,151.119517,-33.948744,BEXLEY SOUTH LPO
14290,2208,KINGSGROVE,151.098002,-33.942632,KINGSGROVE DC
14291,2208,KINGSWAY WEST,151.098002,-33.942632,
14292,2209,BEVERLY HILLS,151.07530400000002,-33.94913,KINGSGROVE DC
14293,2209,NARWEE,151.07530400000002,-33.94913,KINGSGROVE DC
14294,2210,LUGARNO,151.052257,-33.957725,PEAKHURST DC
14295,2210,PEAKHURST,151.052257,-33.957725,PEAKHURST DC
14296,2210,PEAKHURST HEIGHTS,151.052257,-33.957725,PEAKHURST DC
14297,2210,RIVERWOOD,151.052257,-33.957725,PEAKHURST DC
14298,2211,PADSTOW,151.03221000000002,-33.961366,LEIGHTONFIELD DF
14299,2211,PADSTOW HEIGHTS,151.03221000000002,-33.961366,LEIGHTONFIELD DF
14300,2212,REVESBY,151.014547,-33.947286,REVESBY NORTH LPO
14301,2212,REVESBY HEIGHTS,151.014547,-33.947286,LEIGHTONFIELD DF
14302,2212,REVESBY NORTH,151.014547,-33.947286,REVESBY NORTH LPO
14303,2213,EAST HILLS,150.997836,-33.964102000000004,LEIGHTONFIELD DF
14304,2213,PANANIA,150.997836,-33.964102000000004,LEIGHTONFIELD DF
14305,2213,PICNIC POINT,150.997836,-33.964102000000004,LEIGHTONFIELD DF
14306,2214,MILPERRA,150.981592,-33.941443,LEIGHTONFIELD DF
14307,2216,BANKSIA,151.148204,-33.955393,ROCKDALE DC
14308,2216,BRIGHTON-LE-SANDS,151.148204,-33.955393,ROCKDALE DC
14309,2216,KYEEMAGH,151.148204,-33.955393,ROCKDALE DC
14310,2216,ROCKDALE,151.148204,-33.955393,ROCKDALE DC
14311,2217,BEVERLEY PARK,151.140345,-33.974354,ROCKDALE DC
14312,2217,KOGARAH,151.140345,-33.974354,ROCKDALE DC
14313,2217,KOGARAH BAY,151.140345,-33.974354,ROCKDALE DC
14314,2217,MONTEREY,151.140345,-33.974354,ROCKDALE DC
14315,2217,RAMSGATE,151.140345,-33.974354,ROCKDALE DC
14316,2217,RAMSGATE BEACH,151.140345,-33.974354,ROCKDALE DC
14317,2218,ALLAWAH,151.117453,-33.973161,ROCKDALE DC
14318,2218,CARLTON,151.117453,-33.973161,ROCKDALE DC
14319,2219,DOLLS POINT,151.132495,-33.996587,ROCKDALE DC
14320,2219,SANDRINGHAM,151.132495,-33.996587,ROCKDALE DC
14321,2219,SANS SOUCI,151.132495,-33.996587,ROCKDALE DC
14322,2220,HURSTVILLE,151.101764,-33.966692,HURSTVILLE WESTFIELD POST SHOP
14323,2220,HURSTVILLE GROVE,151.101764,-33.966692,PEAKHURST DC
14324,2220,HURSTVILLE WESTFIELD,151.101764,-33.966692,HURSTVILLE WESTFIELD POST SHOP
14325,2221,BLAKEHURST,151.10599,-33.992159,PEAKHURST DC
